# Mapping of demand for final fuels in GCAM-China (byu version) with detailed industry,,,,,,,,,,,,,,
sector,input,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,unit_conv
resid others,traditional biomass,Final Energy,Final Energy|Solids,Final Energy|Solids|Biomass,Final Energy|Solids|Biomass|Traditional,Final Energy|Residential and Commercial,Final Energy|Residential and Commercia|Residential,Final Energy|Residential and Commercial|Solids,Final Energy|Residential and Commercial|Solids|Biomass,,Final Energy|Residential and Commercial|Solids|Biomass|Traditional,,,1
resid_rural appliances,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercia|Residential,Final Energy|Residential and Commercial|Electricity,Final Energy|Residential and Commercial|Residential|Electricity,,,,,1
resid_rural cooling,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercia|Residential,Final Energy|Residential and Commercial|Electricity,Final Energy|Residential and Commercial|Residential|Electricity,,,,,1
resid_rural heating,coal,Final Energy,Final Energy|Solids,Final Energy|Solids|Coal,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercia|Residential,Final Energy|Residential and Commercial|Solids,Final Energy|Residential and Commercial|Solids|Coal,,,,,1
resid_rural heating,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercia|Residential,Final Energy|Residential and Commercial|Electricity,Final Energy|Residential and Commercial|Residential|Electricity,,,,,1
resid_rural heating,gas,Final Energy,Final Energy|Gases,,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercia|Residential,Final Energy|Residential and Commercial|Gases,Final Energy|Residential and Commercial|Residential|Gases,,,,,1
resid_rural heating,refined liquids,Final Energy,Final Energy|Liquids,,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercia|Residential,Final Energy|Residential and Commercial|Liquids,Final Energy|Residential and Commercial|Residential|Liquids,,,,,1
resid_rural heating,traditional biomass,Final Energy,Final Energy|Solids,Final Energy|Solids|Biomass,Final Energy|Solids|Biomass|Traditional,Final Energy|Residential and Commercial,Final Energy|Residential and Commercia|Residential,Final Energy|Residential and Commercial|Solids,Final Energy|Residential and Commercial|Solids|Biomass,Final Energy|Residential and Commercial|Heating|Space,Final Energy|Residential and Commercial|Solids|Biomass|Traditional,,Final Energy|Residential and Commercial|Residential|Heating|Space,1
resid_rural hot water_cooking,coal,Final Energy,Final Energy|Solids,Final Energy|Solids|Coal,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercia|Residential,Final Energy|Residential and Commercial|Solids,Final Energy|Residential and Commercial|Solids|Coal,,,,,1
resid_rural hot water_cooking,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercia|Residential,Final Energy|Residential and Commercial|Electricity,Final Energy|Residential and Commercial|Residential|Electricity,,,,,1
